1,1,4,1,right
1,2,4,0,left
2,0,4,1,right
2,1,4,0,up
2,2,4,0,right
2,2,4,1,left
3,0,4,1,dawn
3,1,4,0,right
3,2,4,1,left
4,0,4,1,up
4,0,4,0,up
4,1,4,0,right
4,2,4,0,right
5,0,4,1,right
5,1,4,0,dawn
5,1,4,1,dawn
5,2,4,0,left
6,0,4,1,dawn
6,1,4,0,right
6,2,4,1,up
7,0,4,0,dawn
7,0,4,1,dawn
7,1,4,1,up
7,2,4,0,left
8,0,4,1,right
8,1,4,0,right
8,1,4,1,left
8,2,4,1,dawn
9,0,4,0,right
9,1,4,1,right
9,2,4,0,left
10,0,4,1,up
10,0,4,0,dawn
10,1,4,0,right
10,2,4,1,left
11,0,4,0,right
11,1,4,0,right
11,1,4,1,left
11,2,4,0,left
12,0,4,1,right
12,1,4,0,right
12,2,4,0,left
12,2,4,1,right
